Dataset;Instance Reduction Method;k;Feature Weighting Method;Selection Method;Distance Metric;r (if Minkowski);Accuracy;Time (seconds);Storage percentage
balance_0;ennth;7;eq_weight;majority;hamming;;0.8870967741935484;0.033539533615112305;34.4582593250444
balance_1;ennth;7;eq_weight;majority;hamming;;0.8064516129032258;0.034563302993774414;35.168738898756665
balance_2;ennth;7;eq_weight;majority;hamming;;0.8095238095238095;0.03197526931762695;33.27402135231316
balance_3;ennth;7;eq_weight;majority;hamming;;0.7846153846153846;0.03771162033081055;34.10714285714286
balance_4;ennth;7;eq_weight;majority;hamming;;0.8412698412698413;0.032070159912109375;34.34163701067616
balance_5;ennth;7;eq_weight;majority;hamming;;0.859375;0.03351259231567383;35.650623885918
balance_6;ennth;7;eq_weight;majority;hamming;;0.8524590163934426;0.04632115364074707;35.28368794326241
balance_7;ennth;7;eq_weight;majority;hamming;;0.7868852459016393;0.03490400314331055;34.9290780141844
balance_8;ennth;7;eq_weight;majority;hamming;;0.873015873015873;0.03046727180480957;32.562277580071175
balance_9;ennth;7;eq_weight;majority;hamming;;0.8852459016393442;0.03275251388549805;32.801418439716315
sick_0;ennth;7;eq_weight;sheppard;hamming;;0.9356060606060606;2.0483150482177734;89.19714165615805
sick_1;ennth;7;eq_weight;sheppard;hamming;;0.9230769230769231;1.8452391624450684;90.13848090642048
sick_2;ennth;7;eq_weight;sheppard;hamming;;0.9239130434782609;1.9091575145721436;89.18462188424165
sick_3;ennth;7;eq_weight;sheppard;hamming;;0.9138576779026217;1.879225492477417;89.85690235690235
sick_4;ennth;7;eq_weight;sheppard;hamming;;0.9204545454545454;1.839691162109375;89.8276586801177
sick_5;ennth;7;eq_weight;sheppard;hamming;;0.924812030075188;1.8434021472930908;89.73496003365587
sick_6;ennth;7;eq_weight;sheppard;hamming;;0.9296875;1.7727134227752686;89.6103896103896
sick_7;ennth;7;eq_weight;sheppard;hamming;;0.9221789883268483;1.7696592807769775;89.35456831517183
sick_8;ennth;7;eq_weight;sheppard;hamming;;0.9250936329588015;2.0511178970336914;89.26767676767676
sick_9;ennth;7;eq_weight;sheppard;hamming;;0.9210526315789473;1.8751444816589355;88.09423643247791